,Trend (1d),Side,Key level,Reward vs. Risk
EUR_SGD,downtrend,SHORT,1.5281174026,1.53
HK33_HKD,uptrend,LONG,30180.0630136986,0.02
IN50_USD,uptrend,LONG,11798.9426666667,0.29
SG30_SGD,uptrend,LONG,380.7992465753,1.04
TWIX_USD,uptrend,LONG,411.3764705882,3.49
US2000_USD,uptrend,LONG,1583.1858684211,0.33
USB05Y_USD,uptrend,LONG,115.2509732143,7.23
USB30Y_USD,uptrend,LONG,147.4297735849,3.59
USD_MXN,downtrend,SHORT,18.8680466883,3.41
USD_NOK,downtrend,SHORT,8.5281413636,9.91
XAU_XAG,uptrend,LONG,85.9426084337,1.76
XCU_USD,uptrend,LONG,2.9572822059,0.39
